"Date","Content","DateParsed"
"25 May 2023","The countries of the European Union (EU) informed the European Commission (EC) about the location of €200 billion of frozen assets of the Central Bank of the Russian Federation. This was stated on Thursday, May 25, by the representative of the European Commission, Christian Wiegand. According to him, the 10th package of EU sanctions imposed against Russia included a requirement for European operators to report to the European Commission on frozen assets of Russia, while the deadline was set on May 12 “The EU countries reported to the European Commission an amount of over €200 billion of frozen assets,” said Wigand, whose words were quoted by Bloomberg. Questions about exactly how much money was frozen in each country, Wigand advised to address directly to the EU countries. At the same time, back in November last year, the head of the EC, Ursula von der Leyen, stated that a total of €300 billion of reserves of the Central Bank of Russia and €19 billion of private funds of Russian businessmen were blocked. Lost count: the EU cannot find most of the frozen Russian reserves But even if it does find it, it will be problematic to use them. On May 24, the Financial Times, citing a source, reported that EU member countries are considering the possibility of using profits from frozen Russian assets as financial assistance for Ukraine. It was noted that we are talking about assets worth €196.6 billion, which are stored in the Euroclear depository. Prior to this, on May 10, the press secretary of the Swiss State Secretariat for Economic Affairs, Fabian Maienfisch, said that the country considers it possible to use the funds of the Central Bank of the Russian Federation located in country, to restore Ukraine. On April 25, Russian President Vladimir Putin signed a decree on retaliatory measures in the event of the seizure of Russian assets abroad. Now, in the event of seizure or restriction of rights to property of the Russian Federation abroad, external management of the assets of unfriendly countries in Russia is introduced. The manager by default will be considered to be the Federal Property Management Agency, unless another person is appointed in this capacity. Western countries began to confiscate Russian assets and property after the start of a special military operation to protect Donbass on February 24, 2022. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1518407'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1518407'); } }); }",2023-05-25
"April 2023","One of the supporters of the schismatic Orthodox Church of Ukraine (OCU), who tried to seize the temple of the canonical Ukrainian Orthodox Church (UOC) in the village of Lipovets, Kyiv region, has died. The Union of Orthodox Journalists of Ukraine reported this on Saturday, April 8. “A raider attack on the temple was organized in the village. As a result, one of the attackers died. The man became ill when he attacked the priest,” the union said in a statement on its Telegram channel. The details of the incident have not been specified. Law enforcement agencies have not yet commented on the incident. It is difficult to be with God: monks are expelled from the main monastery of Ukraine. In the Kiev-Pechersk Lavra they are talking about the beginning of the apocalypse. Earlier, on April 5, supporters of the OCU seized the Church of St. George the Victorious in Lviv during a service. At 9:00, about 50 people entered the territory of the cathedral and blocked the entrance to the territory and to the temple. On the same day, in the village of Zadubrovka, Chernivtsi region in western Ukraine, representatives of the schismatic OCU stormed the Orthodox church of the Chernivtsi-Bukovina diocese of the UOC. Prior to this, 18 March, it was reported that representatives of the schismatic OCU beat believers of the canonical UOC during a raider seizure of a church in the village of Yurkovtsy. At the same time, a group of several dozen people broke the entrance doors to the temple with the help of a grinder. The persecution of the UOC by the Ukrainian authorities intensified after a warning was published on the website of the Kiev Pechersk Lavra on March 10 with the signature of the acting. General Director of the National Reserve ""Kievo-Pechersk Lavra"" Alexander Rudnik that the monks must leave the monastery by March 29. It was reported that the monks could remain in the monastery if they transferred to the schismatic OCU. The alleged violations were cited as the reason for the closure of part of the monastery. In November 2022, during searches on the territory of the monastery, the SBU found pro-Russian literature. As of April 5, there was no attempt to forcibly evict the monks from the Lavra, but there were isolated provocations. In 2022, the Ukrainian authorities intensified actions directed against the UOC. They conducted searches of bishops and priests, churches and monasteries, including the Kiev Pechersk Lavra, in order to find traces of “anti-Ukrainian activities.” Thus, in December 2022, the Security Service of Ukraine (SBU) opened 50 criminal cases against priests of the UOC. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1495515'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1495515'); } }); }",2023-04-20
"20 January 2024","The Russian military hit the positions of the air defense complexes of the Ukrainian Armed Forces (AFU) in Odessa with several Soviet P-35B missiles. RIA Novosti reported this on January 20, citing a source. It is clarified that during the attack, several missiles of the Soviet Utes and Redut complexes with an original analogue control system and television and radio command system were used, which showed good effectiveness in hitting military targets of the Ukrainian Armed Forces As the agency's interlocutor pointed out, production of the P-35 has ceased; modernization of these missiles is pointless, since they were in storage for a long time and repeatedly underwent work to extend their service life. Stocks without strength: what was the purpose of attacks on targets in Ukraine? Russian troops are undermining the ability of the Ukrainian Armed Forces to conduct active combat operations next year, experts believe. Earlier, on January 16, the Minister for Strategic Industries of Ukraine Alexander Kamyshin said that the Armed Forces of Ukraine used a hybrid air defense system for the first time , consisting of elements of Soviet and Western weapons. Russian troops in October 2022 began to strike military command and control facilities and related energy and communications facilities of Ukraine. As Russian President Vladimir Putin explained, this was a response to the terrorist actions of the Kyiv regime, in particular on the Crimean Bridge. The special operation to protect Donbass, the beginning of which was announced by Russian President Vladimir Putin on February 24, 2022, continues. The decision was made against the backdrop of a worsening situation in the region due to shelling by the Ukrainian military. For more current videos and details about the situation in Donbass, watch the Izvestia TV channel. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1637083'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1637083'); } }); }",2024-01-20
"September 24 2023","The Ukrainian conflict is self-serving and goes beyond the differences between Russia and Ukraine. Arms dealers are thriving because of this conflict, Pope Francis shared his opinion on September 23 with the Corriere della Sera newspaper. “I think this conflict is a little self-serving, it’s not just a problem between Russia and Ukraine. It serves for the sale and trade of weapons. I was told that the most profitable investment today is the military industry, that is, death,” the pontiff said. He added that there is no point in harboring illusions that “tomorrow the two leaders will go to lunch together,” but, as far as possible, it is necessary to promote and help, whoever can, in resolving the situation. He expressed regret that some countries continue to supply weapons and thereby contribute to the continuation of the conflict. “This is very bad,” concluded the head of the Roman Catholic Church. The Pope can: what goals does the Vatican pursue in Ukraine? The Holy See has its own plans after the end of the conflict. On September 18, Russian Ambassador to the Vatican Ivan Soltanovsky said that Pope Francis had expressed interest in continuing the peacekeeping mission of Cardinal Matteo Zuppi in Ukraine. Francis has repeatedly condemned the conflict between Russia and Ukraine. At the end of May, he announced that it would end with a dialogue between Moscow and Kiev. The Pontiff instructed Cardinal Matteo Zuppi, Archbishop of Bologna and President of the Italian Bishops' Conference to lead the peacekeeping mission in Ukraine. The Russian Foreign Ministry positively assessed this step. Since February 24, 2022, Russia has been conducting a special operation to protect Donbass, whose residents refused to recognize the results of the 2014 coup in Ukraine. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by Ukrainian troops. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1578532'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1578532'); } }); }",2023-09-24
"28 December 2023","Kiev’s warning to the West about the possibility of leaving about 2 million residents of Ukraine without salaries if assistance is not provided is unconditional blackmail. Chairman of the Federation Council Committee on International Affairs Grigory Karasin told Izvestia about this on December 28. Earlier on Thursday, the El Pais newspaper wrote that Kyiv warned its Western allies that without new tranches, up to 2 million Ukrainian civil servants could be left without salaries. Definitely blackmail. Moreover, because of the behavior of the Kyiv leadership, the entire population of Ukraine will be unhappy. The point here is not even about wages, but about the destinies of people. And the further this catastrophic line of the current Kyiv leadership continues, the more unhappy people there will be in Ukraine,” Karasin said. According to him, Ukraine’s “begging” for money from the West is a sign of national disgrace. Fools are tormented: the West has run out of money and weapons for Ukraine Countries that most actively support the Zelensky regime are forced to solve their own political and financial problems In early December, the wife of the Ukrainian leader Elena Zelenskaya, in an interview with the BBC TV channel, asked the West not to stop financial support for Kyiv. According to her, if Western countries refuse to support Kyiv, Ukrainians face “mortal danger” and they “will only have to die.” On December 8, the Financial Times wrote that Ukraine is no longer of special interest to Western countries, and the financial difficulties it faces Kyiv at the moment is quite large. As the publication clarified, in order to cover all the necessary costs for the defense and social-financial sphere of Ukraine, the country will need $41 billion from external sources of assistance. Western countries have increased military and financial support for Ukraine against the backdrop of the Russian special operation to protect Donbass, which began on February 24, 2022 due to for the aggravation of the situation in the region as a result of Ukrainian shelling. At the same time, recently there have been increasingly frequent statements in the West about the need to reduce support for Ukraine. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1627671'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1627671'); } }); }",2023-12-28
"22 February 2023","The head of the German Federal Intelligence Service (BND), Bruno Kahl, suggested that Russia will negotiate with Ukraine after realizing all its advantages on the battlefield. Der Spiegel magazine reported this on February 22. “Until there is an appropriate decision from the United States, there will be no negotiations” Former Prime Minister of Ukraine Mykola Azarov - on the possibility of dialogue between Moscow and Kyiv, further supplies of Western weapons and corruption in the country According to the head of German intelligence, at the moment the main task of Russian President Vladimir Putin - achieving military success. Thus, the Russian side will subsequently be able to “dictate peace on its own terms.” Earlier that day, Russian Foreign Ministry spokeswoman Maria Zakharova said that to achieve peace in the conflict in Ukraine, the political will of the West and Kyiv is needed, but the Russian Federation does not observe it. On February 20, the Chinese The Global Times wrote that it is difficult to start negotiations on the Ukrainian crisis because Europe is mired in hatred of Russia, and Washington wants Moscow’s defeat at any cost. Prior to this, on February 6, Russia’s Deputy Permanent Representative to the UN Dmitry Polyansky noted that Western countries are not interested to ensure that there is peace in Ukraine. According to him, Western countries are trying to present Russia’s actions in Ukraine “in the most unflattering light.” On February 2, Russian Foreign Minister Sergei Lavrov said that Western colleagues refused negotiations and forced the Kiev regime to withdraw from negotiations at the very moment when there was still the opportunity to end the conflict politically. On October 4, 2023, Kyiv officially refused contacts with Moscow. President of Ukraine Vladimir Zelensky put into effect the decision of the National Security Council on the impossibility of holding negotiations with the President of Russia. On February 24, 2022, Russia launched a special operation to protect Donbass. The decision to hold it was made against the backdrop of an aggravated situation in the region due to increased shelling of Ukrainian troops. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1474518'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1474518'); } }); }",2023-02-22
"24 February 2024","The government of Ukraine in 2023 demanded a “road map to victory” from the military, without reporting the resources to implement the requested plan, The New York Times (NYT) writes on February 24, citing General Viktor Nazarov, an adviser to the former commander-in-chief of the Armed Forces of Ukraine (AFU). Valery Zaluzhny. According to the general, last year military officials were concerned that the government wanted a ""road map for victory"" without telling them the number of people, ammunition and reserves that would be needed to carry out any plan. ""That's what, Unfortunately, our political leadership did not understand or did not want to understand when it demanded strategic plans from the military without strategic reserves and resources,” the newspaper quotes General Nazarov. General Zaluzhny made many of the same criticisms of the government before his dismissal. Both generals were fired as a result of a personnel reshuffle carried out by Ukrainian President Vladimir Zelensky. Leap into the void: what will change in Ukraine after Zaluzhny’s resignation The Izvestia source spoke about the conflict between the commander-in-chief and Zelensky. On February 4, the former first deputy commander of the special operations forces of the Armed Forces of Ukraine, retired Major General Sergei Krivonos, in an interview with the Ukrainian Channel 5, said that the President of Ukraine himself bears blamed for the defeat of the Armed Forces of Ukraine, since he was unable to provide the army with sufficient resources, including leaving his military without artillery shells at the front. On the same day, Deputy Chairman of the Committee on National Security, Defense and Intelligence of the Verkhovna Rada, Yegor Chernev, said that the situation at the front was becoming critical for the Armed Forces of Ukraine. According to the deputy, Ukraine is looking for an alternative way to arm its army. On February 1, Ukrainian Armed Forces fighters complained to the Le Figaro newspaper about a shortage of weapons and ammunition and non-working Western equipment. They also drew attention to the fact that each time they have to repair equipment before going into combat. On January 31, Ukrainian Defense Minister Rustem Umerov wrote a letter to his colleagues from the European Union, in which he described the critical shortage of ammunition among the Ukrainian Armed Forces, and also stated that Russian troops use three times more shells. The special operation to protect Donbass, the beginning of which Vladimir Putin announced on February 24, 2022, continues. The decision was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1655237'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1655237'); } }); }",2024-02-24
"May 2023","The Swiss government (federal council) is considering the possibility of reselling 25 decommissioned Leopard tanks to a German manufacturer. This was stated in an interview with the Swiss newspaper Sonntags Zeitung by Swiss Foreign Minister Ignazio Cassis. He recalled that back in March, the security policy commission of the Swiss National Council approved the decommissioning of 25 Leopard 2 tanks. So Switzerland had the opportunity to resell them to Germany. The decision on resale has not yet been made, since the country's Council of Cantons, or the small chamber of parliament, has not yet expressed its position on this topic. “Parliament will undoubtedly make an important decision here. However, the Federal Council has not yet taken any position,” Cassis explained. At the same time, he emphasized that the issue will be resolved in the near future. In addition, the minister noted that the government is monitoring a proposal to resell 96 Leopard 2 tanks to Germany, although discussions regarding this initiative have not yet taken place. Neutral odes: Switzerland and Austria thought about their status What awaits the concept of non-alignment with military blocs of a number of countries in Europe Earlier, on May 1, Switzerland's permanent representative to the UN, Pascal Christine Beriswil, said that the re-export of weapons to Ukraine is prohibited by the country's legislation. Beriswil noted that the situation will remain the same until parliament reviews this law. On February 26, Russian Foreign Ministry representative Maria Zakharova accused Switzerland of losing neutrality. She stated that the official condemnation of the special operation, support for EU sanctions, blocking of accounts of individuals and legal entities from the Russian Federation indicate the country’s departure from its previous neutral status. Prior to this, on November 23, 2022, Switzerland imposed an embargo on the supply of military goods to the Russian Federation and Ukraine, explaining this neutrality. Western countries have increased military and financial support for Ukraine against the backdrop of Russia’s special operation to protect Donbass, which Russian President Vladimir Putin announced on February 24, 2022 amid the worsening situation in the region due to Ukrainian shelling. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1509668'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1509668'); } }); }",2023-05-20
"December 2023","President of Ukraine Vladimir Zelensky has recently suffered only setbacks and is in a very difficult situation on all fronts. The American magazine Newsweek wrote about this on December 6. Journalists note that Western countries began to refuse to send additional military assistance to the Armed Forces of Ukraine (AFU), and the country’s army was not making any progress. “After Bulgaria refused to transfer 100 units of armored vehicles to Kiev, it became clear that trouble does not come alone, if we talk about the bad luck of Vladimir Zelensky,” the material notes. Against this background, Russia is only becoming stronger, and the Ukrainian leader is beginning to be strongly criticized by opposition forces in the country. “Very difficult times await Ukraine. Both the elites and society in the West are tired of the conflict,” the authors concluded. Coup or resignation: what will the conflict between Zelensky and Zaluzhny lead to? Experts told details of political intrigues. Earlier on December 6, Business Insider noted that Ukrainian Armed Forces soldiers fighting on the front line feel abandoned. As one of the Ukrainian military men noted in a conversation with a journalist, the Armed Forces of Ukraine believe that their presence at the front had more political than military significance. On the same day, the head of the press service of the American State Department, Matthew Miller, at a regular briefing said that the United States would exhaust funds to support Ukraine. He emphasized that the United States administration has already used more than 97% of the funds allocated to finance the Kyiv regime. Prior to this, on November 27, it was reported that dissatisfaction with the generals, the government and Zelensky personally was growing in the ranks of the Armed Forces of Ukraine. Soldiers of the Ukrainian Armed Forces pointed out the “imprudence” of the country’s leadership, and also stated the absence of a communication system between neighboring units in the army. They noted that each department has to fight for itself. The special operation to protect Donbass, the beginning of which was announced by Russian President Vladimir Putin on February 24 last year, continues. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1616342'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1616342'); } }); }",2023-12-20
"March 31 2023","Even if Ukraine raises enough funds from the International Monetary Fund (IMF) and other financial institutions to finance its economy, Kiev will face the question of a debt repayment mechanism that will cost the country dearly. The Economist reported this on March 30. IMF loans are expensive - more expensive than those from other donors, the publication says. Ukraine, as a middle-income country, must pay a base interest rate of 3.5%. Each time a payout is received, the fund charges an additional half a percent for administrative costs. And since Ukraine borrows so much, it is responsible for the additional costs. These payments are intended to ensure that countries do not demand more from the fund than they need, notes Gazeta.Ru. It is clarified that it is difficult to predict the future of any collapsing economy. “Ukraine needs economic support, but its allies had to take the risk, and not the IMF,” says Mark Malloch-Brown, an employee of the Open Society organization. In his opinion, the Kyiv regime should be provided with grants, and not allow Ukraine to accumulate funds in debt, which will ultimately be extremely expensive. As the publication reminds, the country’s GDP fell by 30% in 2022; a growing budget deficit forced the central bank to print billions of hryvnia and devalue the currency. The country is due to receive $15.6 billion from the IMF over the next four years under an emergency program that could be approved by the Fund's board of directors next week. In the deep trench: why the IMF mission started working in Ukraine In Kiev, they dream of loans, but they don’t want to fulfill the fund’s demands. Earlier, on March 29, it was reported that Canada will provide Ukraine with an additional loan through the IMF for $1.76 billion. The money will go to help Ukrainians in providing necessary services. The funds will be allocated from the IMF’s “administered account for Ukraine,” which already holds about €2.8 billion, which were allocated by the United States, Canada and other allies of Ukraine. On February 21, IMF Managing Director Kristalina Georgieva said that Ukraine will be in vital need of external financing not only this year, but also in subsequent ones. Prior to this, on February 17, the fund’s press service reported that the IMF had reached an agreement with Kiev regarding monitoring the economy, which allows us to move on to discussing a full-scale lending program for the country. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1491391'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1491391'); } }); }",2023-03-31
"30 August 2023","Explosions occurred not far from the outskirts of Kyiv, the city administration reported on August 30 on the Telegram channel. They talk about the work of the air defense system. No other details are provided. In addition, according to the Telegram channel Ukraina.Ru, explosions were heard in Odessa. No details provided. Currently, an air raid alert has been declared in most of Ukraine, including the capital. There have been no official comments from the Russian Ministry of Defense. A hole in the port: Russia struck at the maritime infrastructure of the Ukrainian Federal Facility. An object that militants used to launch drones was hit. Earlier, on August 28, Ukrainian media reported explosions in the city of Krivoy Rog in the Dnepropetrovsk region. An air raid alert was in effect in the region. The day before, explosions were reported in the Cherkasy region of Ukraine. An air raid alert was also announced throughout the country. On the same day, explosions were heard in the Sinelnikovsky district of the Dnepropetrovsk region in southeastern Ukraine, where the Mayskoye airfield is located. Russian military personnel began striking critical Ukrainian infrastructure facilities on October 10, 2022. As Russian President Vladimir Putin noted then, this was a response to the terrorist actions of the Kyiv regime, in particular on the Crimean Bridge. The special operation to protect Donbass, the beginning of which was announced by the Russian President on February 24 last year, continues. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1566299'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1566299'); } }); }",2023-08-30
"29 January 2024","Hungary will not succumb to blackmail from the European Union regarding the allocation of an aid package to Ukraine, the country’s Minister for EU Affairs Janos Boka said on January 29. Thus, he commented on Facebook (belongs to the Meta organization, recognized as extremist in the Russian Federation) on messages about the union’s plans to put pressure on the Hungarian economy in in the event that Hungary does not make concessions on the issue of further support for Kyiv. “Hungary will not succumb to blackmail! <…> This information confirms what the Hungarian government has been saying for a long time: Brussels is using access to EU funds to exert political pressure,” Boka wrote. According to the politician, Budapest does not link support for Ukraine with access to EU funds and will not allow this to others. He promised that the country would continue to constructively participate in the negotiations without succumbing to attempts at pressure. Let's go from principles: they want to deprive Hungary of the right to vote What mechanisms does this lay down and will Budapest stop making contributions to the EU budget Earlier this day, the Financial Times newspaper reported, with reference to an EU document, that the unification could sabotage the Hungarian economy if it continues to interfere with the allocation of aid to Ukraine . It is assumed that the levers of pressure could be the exchange rate of the Hungarian forint and the level of investment attractiveness of the country. On January 25, the media learned about Hungary’s plans to abandon its objections to the Ukraine assistance fund. At the same time, Bloomberg associates the refusal of Hungary’s objections with the fact that pressure is growing on the country’s Prime Minister Viktor Orban over the issue of admitting Sweden to NATO. Hungary, at a meeting in Brussels on Ukraine, which took place on December 14–15, blocked the allocation of € to Kyiv 50 billion. In the same month, Orban proposed that the EU refrain from aid to Ukraine over the next five years, noting that the €50 billion that the union is going to transfer to Kyiv simply does not exist. Western countries have increased military and financial support for Kyiv against the background of the Russian special operation on defense of Donbass, the start of which was announced by Russian President Vladimir Putin on February 24, 2022 after the situation in the region worsened due to shelling by the Ukrainian military. However, recently in the West there have been increasingly frequent statements about the need to reduce support for Ukraine. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1641360'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1641360'); } }); }",2024-01-29
"10 December 2023","The Russian army continues to advance in Ukraine, which means there is no stalemate on the front line, University of Chicago professor John Mearsheimer said Dec. 8. “Many people argue that this is a stalemate and that the situation will continue to remain a stalemate. You've heard this from people in Ukraine and the West. But I think this is misleading. I think this is not a dead end - the balance of power has shifted in favor of the Russians,” he said in an interview with the YouTube channel Judging Freedom. According to him, the ratio of losses on both sides indicates a more advantageous position for Russian forces. At the same time, reports from military personnel of the Armed Forces of Ukraine (AFU) indicate the difficult situation of Ukrainian soldiers, who can hardly hold their positions, the expert noted. The fact that Ukrainian troops cannot achieve a breakthrough, since the conflict has reached a dead end, is stated by the commander-in-chief of the Ukrainian Armed Forces Valeriy Zaluzhny said on November 1 in an interview with The Economist. According to him, only a sharp technological leap could save the situation in which the Ukrainian army found itself. He also admitted that for a long time he could not understand the reason for the failures of the Ukrainian Armed Forces. “They are suffering colossal losses in manpower” How Russian artillerymen from the 132nd brigade destroy the enemy attacking Gorlovka The day before, a member of the British House of Lords, Daniel Hannan, said that Russia is approaching victory in the conflict in Ukraine, and the foundations of Europe are “trembling.” According to the speaker, the Kiev counteroffensive “did not achieve the desired results.” At the same time, the leader of the French Patriots party, Florian Philippot, noted that the United States plans to refuse assistance to Ukraine. In turn, Irish MEP Mick Wallace criticized the EU's actions to incite the Ukrainian conflict. They, in his opinion, are destroying Ukraine and creating a debt trap for it. A day earlier, on December 8, Russian President Vladimir Putin, during a conversation with participants in the ceremony of awarding Heroes of Russia, expressed the opinion that Ukraine has nothing of its own, so it, like country, there is no future, while Russia has one. Prior to this, the Chinese Global Times predicted the transition of the situation in Ukraine to the next stage, during which peace negotiations are permissible. It was noted that another counter-offensive of the Ukrainian Armed Forces is impossible due to the enormous financial, physical and strategic costs of the previous one. The special operation to protect Donbass, the beginning of which was announced by Russian President Vladimir Putin on February 24, 2022, continues. The decision was made against the backdrop of a worsening situation in the region. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1618313'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1618313'); } }); }",2023-12-10
"22 February 2023","China wants to improve relations with Europe to rebuild its economy. The New York Times reported this on February 21. Peace tour: what Wang Yi came to Russia with and what China wants to demonstrate to Europe This is what the publication associates with the European tour of the head of the office of the Chinese Communist Party Central Committee Foreign Affairs Commission Wang Yi. It is noted that during the trip he also looked for common ground with the most loyal European allies of the United States, with whom the PRC now competes to the greatest extent. One of Wang Yi’s arguments was an appeal to Europe’s sense of autonomy from the United States. He tried to point out to European leaders that it was the American side that was dragging the region into a new Cold War. At the same time, China wants to maintain good relations with Russia, but analysts interviewed by the newspaper indicate that the Chinese politician during the tour refused to directly support Moscow. The day before, Wang Yi arrived to Moscow, in particular, to present the Chinese plan for a peaceful resolution of the conflict in Ukraine. He met with Russian Security Council Secretary Nikolai Patrushev and pointed out the inviolability of Chinese-Russian relations, calling them as strong as a rock. After the meeting with Patrushev, he emphasized that the PRC and Russia, as members of the UN Security Council, are responsible for peace on the planet. On February 22, Wang Yi is expected to meet with Russian Foreign Minister Sergei Lavrov. Following the first day of the visit, the Chinese Foreign Ministry announced that Moscow and Beijing agreed to jointly resist any form of unilateral intimidation and promote the development of a multipolar world. Both sides exchanged views on the Ukrainian issue. The latter issue became the hottest topic for discussion among experts and the media in China and the United States. They claimed that Wang Yi had arrived to facilitate peace negotiations between Russia and Ukraine. In Munich, the diplomat even presented a kind of peace plan for the Ukrainian conflict. However, in a conversation with Izvestia, sinologist Alexander Gabuev said that China, which Western elites are actively criticizing for supporting Russia, in practice does not distance itself: trade is growing, military exercises are taking place, relations between the two countries are strengthening and deepening. But in order to not be scolded so much by the Europeans and to drive a wedge between Europeans and Americans, it is beneficial for the Chinese to emphasize that they are for peace. The tour of the head of Chinese diplomacy began on February 14. He visited France, Italy and Germany, where he spoke at the Munich Security Conference. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1474054'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1474054'); } }); }",2023-02-22
"11 October 2023","The Federal Security Service (FSB) has identified 794 mercenaries from 35 countries who took part in the conflict in Ukraine. FSB Director Alexander Bortnikov said this on Wednesday, October 11. “In EU countries alone, 17 training camps operate under the patronage of NATO intelligence services. Westerners are actively promoting the movement of militants into the Ukrainian conflict zone. We record the participation in hostilities of employees of 13 European PMCs and members of nine foreign paramilitary proxy formations,” he indicated. According to Bortnikov, the Russian side has reliable information that members of ISIS (banned in Russia) are acting against Russia in the Ichkerian and Crimean Tatar units Russian Federation terrorist organization) and other similar organizations. They are also part of sabotage and reconnaissance groups that are sent to Russian territory to carry out attacks and terrorist attacks. Bortnikov believes that the Western coalition has purposefully turned Ukraine into a “platform for training terrorists and mercenaries,” as well as training them in methods of modern warfare and the use of this experience in the CIS and other regions of the world. The FSB director emphasized that the Western intelligence community and non-governmental organizations are recruiting members of international terrorist organizations, Nazis and mercenaries trained in Afghanistan, the Middle East and Europe for Ukrainian armed forces. Bortnikov called Ukraine “a source of military and terrorist threat on the border of the Union State of Russia and the Republic of Belarus,” which it has become through the efforts of Washington and its NATO allies. Bortnikov recalled that the West is increasing the supply of heavy equipment and long-range weapons to Ukraine. Western countries also supply the Armed Forces of Ukraine (AFU) with prohibited cluster munitions, depleted uranium shells, air- and sea-based combat drones, modern control and communication systems and are considering providing the Kyiv regime with fourth-generation multifunctional fighters. According to Bortnikov, Westerners supply military formations Ukraine provides intelligence, plans and coordinates combat operations. He emphasized that NATO career officers are involved in such military operations. Score and sword: how many foreign mercenaries are left in Ukraine Experts explain the decrease in their number by the chosen tactics of the Russian Armed Forces. Earlier, on October 3, Estonian Defense Minister Hanno Pevkur said that the Estonian authorities cannot name the exact number of citizens taking part in hostilities on the side of the Armed Forces of Ukraine. since Kyiv changed the rules for registering foreign mercenaries, and now they can be in all units. It was noted that Estonians have no obligation to inform either the embassy or the Ministry of Defense about their intention to fight on the side of Ukraine. This further complicates the ability to count the number of citizens participating in the conflict. Mercenaries from around the world are taking part in the fighting in Ukraine. The Daily Telegraph wrote on September 14 that foreign mercenaries in Ukraine, apparently, began to kill each other more often during domestic conflicts. The special operation to protect Donbass, the beginning of which was announced by Russian President Vladimir Putin on February 24, 2022, continues. The decision was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1587537'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1587537'); } }); }",2023-10-11
